text,intent
get time request number 295,GET_TIME
mute command number 569,MUTE
open application number 1244,OPEN_APP
get time request number 325,GET_TIME
mute command number 137,MUTE
open file number 408,OPEN_FILE
mute command number 1141,MUTE
get time request number 729,GET_TIME
mute command number 527,MUTE
unmute command number 1038,UNMUTE
general conversation number 253,GENERAL_CONVERSATION
mute command number 444,MUTE
general conversation number 989,GENERAL_CONVERSATION
get time request number 1346,GET_TIME
get time request number 869,GET_TIME
get time request number 998,GET_TIME
mute command number 1271,MUTE
open file number 636,OPEN_FILE
general conversation number 33,GENERAL_CONVERSATION
open file number 438,OPEN_FILE
search query number 520,WEB_SEARCH
search query number 1039,WEB_SEARCH
mute command number 66,MUTE
open application number 390,OPEN_APP
search query number 1120,WEB_SEARCH
open file number 951,OPEN_FILE
open file number 413,OPEN_FILE
search query number 618,WEB_SEARCH
open application number 949,OPEN_APP
open application number 1132,OPEN_APP
general conversation number 415,GENERAL_CONVERSATION
open file number 87,OPEN_FILE
get time request number 1400,GET_TIME
open application number 121,OPEN_APP
get time request number 290,GET_TIME
search query number 1085,WEB_SEARCH
general conversation number 285,GENERAL_CONVERSATION
unmute command number 682,UNMUTE
mute command number 617,MUTE
search query number 221,WEB_SEARCH
open application number 586,OPEN_APP
open file number 98,OPEN_FILE
open file number 991,OPEN_FILE
mute command number 1424,MUTE
mute command number 52,MUTE
search query number 879,WEB_SEARCH
get time request number 1125,GET_TIME
unmute command number 830,UNMUTE
search query number 415,WEB_SEARCH
search query number 88,WEB_SEARCH
general conversation number 594,GENERAL_CONVERSATION
open file number 929,OPEN_FILE
mute command number 1022,MUTE
general conversation number 55,GENERAL_CONVERSATION
unmute command number 1028,UNMUTE
unmute command number 1097,UNMUTE
open file number 1199,OPEN_FILE
search query number 217,WEB_SEARCH
general conversation number 830,GENERAL_CONVERSATION
unmute command number 1109,UNMUTE
search query number 301,WEB_SEARCH
get time request number 627,GET_TIME
search query number 1034,WEB_SEARCH
get time request number 835,GET_TIME
search query number 1111,WEB_SEARCH
open file number 55,OPEN_FILE
open file number 278,OPEN_FILE
get time request number 854,GET_TIME
get time request number 487,GET_TIME
open file number 1330,OPEN_FILE
open application number 151,OPEN_APP
open application number 881,OPEN_APP
mute command number 579,MUTE
get time request number 940,GET_TIME
get time request number 593,GET_TIME
get time request number 1167,GET_TIME
search query number 324,WEB_SEARCH
search query number 1,WEB_SEARCH
get time request number 1272,GET_TIME
open file number 373,OPEN_FILE
open file number 1220,OPEN_FILE
open application number 555,OPEN_APP
search query number 158,WEB_SEARCH
open application number 1344,OPEN_APP
get time request number 373,GET_TIME
open application number 810,OPEN_APP
get time request number 929,GET_TIME
unmute command number 58,UNMUTE
mute command number 752,MUTE
open application number 323,OPEN_APP
open application number 703,OPEN_APP
open file number 1053,OPEN_FILE
general conversation number 1292,GENERAL_CONVERSATION
get time request number 475,GET_TIME
mute command number 261,MUTE
open file number 865,OPEN_FILE
open file number 239,OPEN_FILE
unmute command number 328,UNMUTE
open application number 461,OPEN_APP
search query number 1048,WEB_SEARCH
unmute command number 340,UNMUTE
open file number 1068,OPEN_FILE
search query number 355,WEB_SEARCH
open application number 127,OPEN_APP
search query number 804,WEB_SEARCH
open application number 906,OPEN_APP
general conversation number 293,GENERAL_CONVERSATION
get time request number 1031,GET_TIME
get time request number 840,GET_TIME
mute command number 1205,MUTE
general conversation number 1071,GENERAL_CONVERSATION
open file number 1230,OPEN_FILE
get time request number 823,GET_TIME
open application number 1220,OPEN_APP
search query number 1303,WEB_SEARCH
search query number 1392,WEB_SEARCH
open application number 1218,OPEN_APP
mute command number 711,MUTE
open file number 956,OPEN_FILE
open file number 869,OPEN_FILE
general conversation number 1341,GENERAL_CONVERSATION
open application number 68,OPEN_APP
general conversation number 960,GENERAL_CONVERSATION
search query number 903,WEB_SEARCH
mute command number 1104,MUTE
open application number 98,OPEN_APP
unmute command number 1398,UNMUTE
search query number 1152,WEB_SEARCH
general conversation number 699,GENERAL_CONVERSATION
search query number 976,WEB_SEARCH
get time request number 752,GET_TIME
search query number 26,WEB_SEARCH
open application number 524,OPEN_APP
mute command number 568,MUTE
mute command number 301,MUTE
search query number 989,WEB_SEARCH
search query number 228,WEB_SEARCH
general conversation number 664,GENERAL_CONVERSATION
mute command number 1311,MUTE
unmute command number 648,UNMUTE
open file number 630,OPEN_FILE
mute command number 651,MUTE
get time request number 195,GET_TIME
general conversation number 332,GENERAL_CONVERSATION
open file number 279,OPEN_FILE
mute command number 1088,MUTE
open application number 1061,OPEN_APP
general conversation number 1424,GENERAL_CONVERSATION
open application number 1158,OPEN_APP
general conversation number 1347,GENERAL_CONVERSATION
search query number 479,WEB_SEARCH
mute command number 818,MUTE
general conversation number 287,GENERAL_CONVERSATION
get time request number 64,GET_TIME
mute command number 35,MUTE
general conversation number 1107,GENERAL_CONVERSATION
open file number 978,OPEN_FILE
open application number 211,OPEN_APP
mute command number 1042,MUTE
get time request number 1092,GET_TIME
mute command number 193,MUTE
open file number 839,OPEN_FILE
mute command number 1232,MUTE
mute command number 873,MUTE
search query number 1238,WEB_SEARCH
general conversation number 789,GENERAL_CONVERSATION
search query number 356,WEB_SEARCH
open file number 4,OPEN_FILE
unmute command number 344,UNMUTE
search query number 247,WEB_SEARCH
search query number 613,WEB_SEARCH
general conversation number 606,GENERAL_CONVERSATION
open application number 88,OPEN_APP
mute command number 1324,MUTE
unmute command number 885,UNMUTE
general conversation number 1079,GENERAL_CONVERSATION
search query number 806,WEB_SEARCH
open file number 753,OPEN_FILE
get time request number 292,GET_TIME
mute command number 1313,MUTE
open file number 199,OPEN_FILE
open file number 827,OPEN_FILE
unmute command number 1242,UNMUTE
search query number 1364,WEB_SEARCH
get time request number 1215,GET_TIME
unmute command number 593,UNMUTE
search query number 530,WEB_SEARCH
get time request number 1121,GET_TIME
search query number 1378,WEB_SEARCH
general conversation number 243,GENERAL_CONVERSATION
open file number 1313,OPEN_FILE
search query number 711,WEB_SEARCH
open application number 1242,OPEN_APP
search query number 666,WEB_SEARCH
general conversation number 993,GENERAL_CONVERSATION
get time request number 8,GET_TIME
open file number 1001,OPEN_FILE
open file number 726,OPEN_FILE
mute command number 144,MUTE
get time request number 66,GET_TIME
general conversation number 106,GENERAL_CONVERSATION
mute command number 814,MUTE
open application number 209,OPEN_APP
open file number 967,OPEN_FILE
mute command number 1083,MUTE
mute command number 95,MUTE
general conversation number 1231,GENERAL_CONVERSATION
search query number 1190,WEB_SEARCH
get time request number 1209,GET_TIME
get time request number 130,GET_TIME
unmute command number 607,UNMUTE
open application number 190,OPEN_APP
open file number 579,OPEN_FILE
unmute command number 518,UNMUTE
open file number 558,OPEN_FILE
general conversation number 69,GENERAL_CONVERSATION
get time request number 1012,GET_TIME
get time request number 1180,GET_TIME
general conversation number 486,GENERAL_CONVERSATION
general conversation number 456,GENERAL_CONVERSATION
open application number 1216,OPEN_APP
unmute command number 979,UNMUTE
search query number 578,WEB_SEARCH
mute command number 422,MUTE
general conversation number 118,GENERAL_CONVERSATION
open file number 1299,OPEN_FILE
search query number 1016,WEB_SEARCH
get time request number 1208,GET_TIME
get time request number 654,GET_TIME
get time request number 478,GET_TIME
search query number 506,WEB_SEARCH
mute command number 599,MUTE
mute command number 499,MUTE
unmute command number 1310,UNMUTE
unmute command number 225,UNMUTE
search query number 537,WEB_SEARCH
search query number 24,WEB_SEARCH
mute command number 250,MUTE
unmute command number 276,UNMUTE
general conversation number 254,GENERAL_CONVERSATION
unmute command number 1402,UNMUTE
get time request number 24,GET_TIME
get time request number 881,GET_TIME
get time request number 1052,GET_TIME
general conversation number 491,GENERAL_CONVERSATION
mute command number 111,MUTE
mute command number 990,MUTE
open file number 381,OPEN_FILE
open file number 1419,OPEN_FILE
general conversation number 99,GENERAL_CONVERSATION
general conversation number 189,GENERAL_CONVERSATION
search query number 1393,WEB_SEARCH
search query number 762,WEB_SEARCH
open file number 1110,OPEN_FILE
unmute command number 1055,UNMUTE
search query number 202,WEB_SEARCH
unmute command number 273,UNMUTE
open file number 491,OPEN_FILE
unmute command number 1158,UNMUTE
mute command number 559,MUTE
open application number 1276,OPEN_APP
unmute command number 1260,UNMUTE
search query number 718,WEB_SEARCH
unmute command number 797,UNMUTE
mute command number 161,MUTE
open application number 752,OPEN_APP
open file number 364,OPEN_FILE
